Record,strat_depth,SH20_age,Group,Guano_Zone,Guano_Sum,cln_P2O5_TiO2,cln_CaO_TiO2,cln_Cu_TiO2,cln_Zn_TiO2,cln_Sr_TiO2,cln_P_Ti,cln_Ca_Ti,cln_Cu_Ti,cln_Zn_Ti,cln_Sr_Ti,cln_P_Ti_CS,cln_Ca_Ti_CS,cln_Cu_Ti_CS,cln_Zn_Ti_CS,cln_Sr_Ti_CS,Plot_order
,cm,cal a BP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARD,187,4382,Unit 7,ARD GZ 3,Guano,1.628259893,0.516610979,1.652658142,1.52267122,1.111972382,1.628259893,0.516610979,1.652658142,1.52267122,1.111972382,0.041028504,0.37383985,1.692138458,1.235145093,0.582337475,5
ARD,189,4407,Unit 7,ARD GZ 3,Guano,1.587818504,0.620999947,1.603926151,1.288550221,1.010788472,1.587818504,0.620999947,1.603926151,1.288550221,1.010788472,0.716318068,0.606777676,0.544896893,0.42954233,0.262180499,5
ARD,191,4430,Unit 7,ARD GZ 3,Guano,0.193227878,0.180636627,-0.212412392,-0.06671446,0.088265682,0.193227878,0.180636627,-0.212412392,-0.06671446,0.088265682,0.184042727,0.249334965,-0.124151335,-0.114189765,-0.027162268,5
ARD,193,4450,Unit 6,ARD GZ 0,Non Guano,0.414533303,0.2661097,0.062019226,0.1389495,0.212413832,0.414533303,0.2661097,0.062019226,0.1389495,0.212413832,-0.561269913,-0.062592043,-0.940022983,-0.750879243,-0.650546755,2
ARD,195,4470,Unit 6,ARD GZ 0,Non Guano,0.242929692,0.181347106,-0.11686781,-0.061230701,0.101617302,0.242929692,0.181347106,-0.11686781,-0.061230701,0.101617302,0.202809573,0.692080437,0.709161412,0.515591139,0.29917739,2
ARD,197,4491,Unit 6,ARD GZ 0,Non Guano,0.942464992,0.476011777,0.507686449,0.516151297,0.604918121,0.942464992,0.476011777,0.507686449,0.516151297,0.604918121,0.147973379,0.637837762,0.464427576,0.278374421,0.095860364,2
ARD,199,4511,Unit 6,ARD GZ 0,Non Guano,0.08113256,0.06786527,-0.246964774,-0.183637839,0.005160075,0.08113256,0.06786527,-0.246964774,-0.183637839,0.005160075,0.606617202,0.802705757,0.64508777,0.684691997,0.45500912,2
ARD,201,4531,Unit 6,ARD GZ 0,Non Guano,0.361772528,0.187861976,0.105008471,0.063627911,0.157577663,0.361772528,0.187861976,0.105008471,0.063627911,0.157577663,-0.050897577,0.135137716,-0.592960404,-0.529971241,-0.456455333,2
ARD,204,4560,Unit 6,ARD GZ 0,Non Guano,0.669809193,0.353860542,0.187603454,0.23828415,0.378142635,0.669809193,0.353860542,0.187603454,0.23828415,0.378142635,-1.033332787,-0.280381321,-1.314139978,-1.024750676,-0.865559344,2
ARD,206,4580,Unit 6,ARD GZ 0,Non Guano,0.881926536,0.438698451,0.428165607,0.406866991,0.530673396,0.881926536,0.438698451,0.428165607,0.406866991,0.530673396,0.047092372,0.239893358,-0.350254709,-0.482739289,-0.323874703,2
ARD,208,4600,Unit 6,ARD GZ 0,Non Guano,-0.487884387,-0.145259281,-0.683289593,-0.613396646,-0.291456096,-0.487884387,-0.145259281,-0.683289593,-0.613396646,-0.291456096,1.190876421,0.789204346,0.624496287,0.361765397,0.35379371,2
ARD,210,4621,Unit 6,ARD GZ 0,Non Guano,0.276563366,0.123161893,-0.127028116,-0.030382984,0.114695842,0.276563366,0.123161893,-0.127028116,-0.030382984,0.114695842,-0.294746363,-0.039909986,-0.8127228,-0.8674879,-0.595378954,2
ARD,212,4641,Unit 6,ARD GZ 0,Non Guano,0.375857904,0.200659197,-0.074208356,0.058004608,0.202479975,0.375857904,0.200659197,-0.074208356,0.058004608,0.202479975,-1.464361844,-0.115353742,-1.001124734,-0.824173742,-0.664451722,2
ARD,214,4661,Unit 6,ARD GZ 0,Non Guano,0.417200317,0.248086358,0.09266216,0.035912375,0.216955765,0.417200317,0.248086358,0.09266216,0.035912375,0.216955765,-0.906930485,0.079232328,-0.394435582,-0.452671518,-0.338235308,2
ARD,216,4681,Unit 6,ARD GZ 0,Non Guano,0.256011277,0.130603454,-0.157710391,-0.027482635,0.103911005,0.256011277,0.130603454,-0.157710391,-0.027482635,0.103911005,0.254625587,0.077958779,-0.356204096,-0.353280948,-0.335151997,2
ARD,218,4701,Unit 6,ARD GZ 0,Non Guano,0.124660584,0.098972209,-0.148460269,-0.087710939,0.046139571,0.124660584,0.098972209,-0.148460269,-0.087710939,0.046139571,-1.454314664,0.086744983,-0.491167745,-0.421234928,-0.341708592,2
ARD,220,4721,Unit 6,ARD GZ 0,Non Guano,0.635470866,0.318347164,0.28478286,0.284044174,0.395398645,0.635470866,0.318347164,0.28478286,0.284044174,0.395398645,0.192685234,0.523356015,0.402590433,0.298306247,0.188784744,2
ARD,222,4741,Unit 6,ARD GZ 0,Non Guano,0.031239921,0.049711796,-0.211368899,-0.198924179,-0.011918915,0.031239921,0.049711796,-0.211368899,-0.198924179,-0.011918915,-0.910316268,0.100551315,-0.511910444,-0.521593549,-0.507275949,2
ARD,224,4760,Unit 6,ARD GZ 0,Non Guano,0.558318451,0.252786763,0.174032153,0.175195768,0.30639619,0.558318451,0.252786763,0.174032153,0.175195768,0.30639619,-0.217951662,0.315547314,-0.201303268,-0.398401118,-0.190792392,2
ARD,226,4780,Unit 6,ARD GZ 0,Non Guano,-0.089253368,-0.030351816,-0.292507683,-0.307733965,-0.093151933,-0.089253368,-0.030351816,-0.292507683,-0.307733965,-0.093151933,-0.246680813,0.565953112,0.20201472,0.164136231,0.160765671,2
ARD,228,4800,Unit 6,ARD GZ 0,Non Guano,-0.076079667,-0.02460107,-0.294136378,-0.298720649,-0.072316878,-0.076079667,-0.02460107,-0.294136378,-0.298720649,-0.072316878,-0.429547106,0.323396192,-0.061736919,-0.269065058,0.013380722,2
ARD,230,4819,Unit 6,ARD GZ 0,Non Guano,0.784438032,0.40463712,0.382734423,0.350049746,0.508806616,0.784438032,0.40463712,0.382734423,0.350049746,0.508806616,-0.404537618,0.28086683,-0.156035601,-0.300052256,-0.117310972,2
ARD,232,4840,Unit 6,ARD GZ 0,Non Guano,0.088631247,0.09304876,-0.25067556,-0.192089684,0.030053433,0.088631247,0.09304876,-0.25067556,-0.192089684,0.030053433,-0.564984441,0.360156966,-0.090472173,0.008644483,-0.105647852,2
ARD,234,4861,Unit 6,ARD GZ 0,Non Guano,0.283705167,0.158499849,-0.080874568,-0.06280056,0.133948995,0.283705167,0.158499849,-0.080874568,-0.06280056,0.133948995,-0.949611483,-0.078135669,-1.193820195,-1.042908881,-0.728524878,2
ARD,236,4881,Unit 6,ARD GZ 0,Non Guano,-0.544116581,-0.110303308,-0.665889413,-0.631387591,-0.287282188,-0.544116581,-0.110303308,-0.665889413,-0.631387591,-0.287282188,-0.730665983,-0.272647663,-1.83783167,-1.516337166,-1.164829966,2
ARD,238,4901,Unit 6,ARD GZ 0,Non Guano,-1.184667638,-0.15913855,-1.093470102,-0.943534447,-0.432844403,-1.184667638,-0.15913855,-1.093470102,-0.943534447,-0.432844403,-0.70235567,-0.018698557,-0.874991174,-0.702161549,-0.684514736,2
ARD,240,4921,Unit 6,ARD GZ 0,Non Guano,-1.151787325,-0.175431601,-1.060275104,-0.896809597,-0.439923305,-1.151787325,-0.175431601,-1.060275104,-0.896809597,-0.439923305,-1.110002571,0.054346005,-0.992050463,-0.734111086,-0.541901211,2
