"Core","depth_cm","SH20_age","param","value"
"ARD1A",12.8,1257,"Cs",0
"ARD1A",12.8,1257,"Ba",0
"ARD1A",12.8,1257,"La",0
"ARD1A",12.8,1257,"Ce",24
"ARD1A",12.8,1257,"Pr",4
"ARD1A",12.8,1257,"Nd",0
"ARD1A",12.8,1257,"Sm",29
"ARD1A",12.8,1257,"Eu",16
"ARD1A",12.8,1257,"Gd",65
"ARD1A",12.8,1257,"Tb",110
"ARD1A",12.8,1257,"Dy",35
"ARD1A",12.8,1257,"Ho",25
"ARD1A",12.8,1257,"Ta",23
"ARD1A",12.8,1257,"W",58
"ARD1A",12.8,1257,"Os",0
"ARD1A",12.8,1257,"Ir",23
"ARD1A",12.8,1257,"Pt",40
"ARD1A",12.8,1257,"Au",29
"ARD1A",12.8,1257,"Hg",10
"ARD1A",12.8,1257,"Pb",20
"ARD1A",12.8,1257,"Bi",18
"ARD1A",12.8,1257,"Th",0
"ARD1A",12.8,1257,"U",63
"ARD1A",12.8,1257,"Mo_inc",12198
"ARD1A",12.8,1257,"Mo_coh",3886
"ARD1A",12.8,1257,"TS_sum",16084
"ARD1A",12.8,1257,"inc_coh",3.138960371
"ARD1A",12.8,1257,"coh_inc",0.318576816
"ARD1A",12.8,1257,"cps_sum",47426
"ARD1A",13,1289.37,"kcps",12100.3916
"ARD1A",13,1289.37,"MSE",1.02
"ARD1A",13,1289.37,"Mg",0
"ARD1A",13,1289.37,"Al",0
"ARD1A",13,1289.37,"Si",28
"ARD1A",13,1289.37,"P",0
"ARD1A",13,1289.37,"S",28
"ARD1A",13,1289.37,"Cl",7
"ARD1A",13,1289.37,"Ar",40
"ARD1A",13,1289.37,"K",43
"ARD1A",13,1289.37,"Ca",1787
"ARD1A",13,1289.37,"Sc",11
"ARD1A",13,1289.37,"Ti",938
"ARD1A",13,1289.37,"V",13
"ARD1A",13,1289.37,"Cr",39
"ARD1A",13,1289.37,"Mn",370
"ARD1A",13,1289.37,"Fe",29233
"ARD1A",13,1289.37,"Co",132
"ARD1A",13,1289.37,"Ni",0
"ARD1A",13,1289.37,"Cu",135
"ARD1A",13,1289.37,"Zn",198
"ARD1A",13,1289.37,"Ga",0
"ARD1A",13,1289.37,"Ge",37
"ARD1A",13,1289.37,"As",0
"ARD1A",13,1289.37,"Se",0
"ARD1A",13,1289.37,"Br",97
"ARD1A",13,1289.37,"Rb",0
"ARD1A",13,1289.37,"Sr",1243
"ARD1A",13,1289.37,"Zr",573
"ARD1A",13,1289.37,"Nb",0
"ARD1A",13,1289.37,"Mo",0
"ARD1A",13,1289.37,"In",25
"ARD1A",13,1289.37,"Sn",0
"ARD1A",13,1289.37,"Sb",0
"ARD1A",13,1289.37,"Te",33
"ARD1A",13,1289.37,"I",0
"ARD1A",13,1289.37,"Cs",0
"ARD1A",13,1289.37,"Ba",0
"ARD1A",13,1289.37,"La",35
"ARD1A",13,1289.37,"Ce",23
"ARD1A",13,1289.37,"Pr",0
"ARD1A",13,1289.37,"Nd",8
"ARD1A",13,1289.37,"Sm",35
"ARD1A",13,1289.37,"Eu",0
"ARD1A",13,1289.37,"Gd",69
"ARD1A",13,1289.37,"Tb",281
"ARD1A",13,1289.37,"Dy",53
"ARD1A",13,1289.37,"Ho",77
"ARD1A",13,1289.37,"Ta",36
"ARD1A",13,1289.37,"W",27
"ARD1A",13,1289.37,"Os",0
"ARD1A",13,1289.37,"Ir",48
"ARD1A",13,1289.37,"Pt",36
"ARD1A",13,1289.37,"Au",0
"ARD1A",13,1289.37,"Hg",52
"ARD1A",13,1289.37,"Pb",64
"ARD1A",13,1289.37,"Bi",0
"ARD1A",13,1289.37,"Th",8
"ARD1A",13,1289.37,"U",0
"ARD1A",13,1289.37,"Mo_inc",11625
"ARD1A",13,1289.37,"Mo_coh",3675
"ARD1A",13,1289.37,"TS_sum",15300
"ARD1A",13,1289.37,"inc_coh",3.163265306
"ARD1A",13,1289.37,"coh_inc",0.316129032
"ARD1A",13,1289.37,"cps_sum",51162
"ARD1A",13.2,1321.73,"kcps",12724.3623
"ARD1A",13.2,1321.73,"MSE",1.11
"ARD1A",13.2,1321.73,"Mg",10
"ARD1A",13.2,1321.73,"Al",21
"ARD1A",13.2,1321.73,"Si",30
"ARD1A",13.2,1321.73,"P",0
"ARD1A",13.2,1321.73,"S",28
"ARD1A",13.2,1321.73,"Cl",0
"ARD1A",13.2,1321.73,"Ar",52
"ARD1A",13.2,1321.73,"K",99
"ARD1A",13.2,1321.73,"Ca",1454
"ARD1A",13.2,1321.73,"Sc",0
"ARD1A",13.2,1321.73,"Ti",861
"ARD1A",13.2,1321.73,"V",30
"ARD1A",13.2,1321.73,"Cr",32
"ARD1A",13.2,1321.73,"Mn",302
"ARD1A",13.2,1321.73,"Fe",24737
"ARD1A",13.2,1321.73,"Co",125
"ARD1A",13.2,1321.73,"Ni",0
"ARD1A",13.2,1321.73,"Cu",44
"ARD1A",13.2,1321.73,"Zn",134
"ARD1A",13.2,1321.73,"Ga",22
"ARD1A",13.2,1321.73,"Ge",23
"ARD1A",13.2,1321.73,"As",97
"ARD1A",13.2,1321.73,"Se",43
"ARD1A",13.2,1321.73,"Br",121
"ARD1A",13.2,1321.73,"Rb",111
"ARD1A",13.2,1321.73,"Sr",1367
"ARD1A",13.2,1321.73,"Zr",780
"ARD1A",13.2,1321.73,"Nb",0
"ARD1A",13.2,1321.73,"Mo",7
"ARD1A",13.2,1321.73,"In",0
"ARD1A",13.2,1321.73,"Sn",21
